customerID,gender,age,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,has_dependents,has_partner,num_support_tickets,is_active_member,churn
C100000,Male,31,13,15.75,232.46,two years,DSL,Mailed check,1,0,2,1,0
C100001,Female,20,39,32.83,1356.54,month-to-month,DSL,Credit card,1,1,2,1,0
C100002,Female,60,35,34.2,1268.76,two years,Fiber,Bank transfer,0,1,2,0,1
C100003,Male,63,14,29.11,461.96,month-to-month,DSL,Mailed check,1,1,2,1,0
C100004,Male,69,0,29.44,0.0,month-to-month,DSL,Credit card,1,1,1,1,1
C100005,Female,81,9,49.85,440.56,one year,Fiber,Electronic check,1,0,1,1,0
C100006,Male,51,14,30.05,441.88,month-to-month,DSL,Electronic check,1,1,3,1,0
C100007,Female,73,25,28.69,678.74,month-to-month,DSL,Credit card,0,1,1,0,0
C100008,Male,65,31,37.13,1117.15,month-to-month,DSL,Mailed check,0,0,1,0,0
C100009,Male,36,8,42.86,361.56,one year,Fiber,Credit card,1,0,1,1,1
C100010,Female,74,3,47.64,74.71,month-to-month,Fiber,Electronic check,1,0,2,1,0
C100011,Female,21,24,30.62,789.45,two years,Fiber,Bank transfer,0,0,3,0,0
C100012,Female,58,2,48.92,77.76,month-to-month,Fiber,Electronic check,1,1,5,1,1
C100013,Female,81,12,35.3,450.65,two years,Fiber,Electronic check,0,0,1,1,0
C100014,Female,62,7,48.75,351.57,month-to-month,Fiber,Electronic check,1,1,1,1,0
C100015,Female,80,8,26.2,272.31,one year,DSL,Bank transfer,1,0,2,1,0
C100016,Female,21,33,44.57,1364.55,month-to-month,Fiber,Electronic check,1,0,1,1,0
C100017,Male,53,14,25.89,425.41,month-to-month,DSL,Electronic check,1,0,2,1,1
C100018,Female,70,24,15.0,421.91,month-to-month,None,Electronic check,0,1,3,1,0
C100019,Male,61,9,42.45,396.12,one year,Fiber,Electronic check,1,0,4,0,1
C100020,Female,76,12,45.28,569.4,month-to-month,Fiber,Bank transfer,0,1,1,1,0
C100021,Male,48,14,60.72,879.91,month-to-month,Fiber,Bank transfer,1,1,1,0,1
C100022,Male,63,21,17.52,322.87,two years,None,Bank transfer,1,1,0,1,0
C100023,Female,46,7,56.71,399.67,month-to-month,Fiber,Electronic check,0,1,2,0,1
C100024,Female,76,11,43.53,523.29,month-to-month,Fiber,Mailed check,1,1,3,1,1
C100025,Female,26,12,19.11,139.98,month-to-month,None,Electronic check,0,0,0,1,0
C100026,Male,35,15,43.98,683.31,month-to-month,Fiber,Mailed check,0,0,1,0,0
C100027,Female,24,2,59.21,122.78,month-to-month,Fiber,Credit card,1,1,2,0,0
C100028,Female,65,9,29.16,293.77,one year,DSL,Mailed check,1,1,1,0,0
C100029,Male,33,5,24.74,60.09,month-to-month,DSL,Credit card,0,1,1,0,1
C100030,Male,39,5,21.85,72.05,month-to-month,None,Electronic check,0,0,1,1,0
C100031,Male,74,40,17.59,633.68,one year,DSL,Bank transfer,1,0,3,1,0
C100032,Male,42,2,29.32,0.0,month-to-month,DSL,Bank transfer,1,1,1,1,1
C100033,Female,27,13,29.12,420.13,month-to-month,DSL,Bank transfer,0,0,1,0,0
C100034,Female,19,9,15.0,105.56,two years,None,Bank transfer,1,0,0,1,0
C100035,Male,33,6,54.94,296.52,month-to-month,Fiber,Electronic check,0,0,3,0,1
C100036,Female,79,20,50.1,1056.56,month-to-month,Fiber,Bank transfer,1,0,2,0,1
C100037,Female,54,2,15.0,12.83,one year,None,Mailed check,1,1,1,1,0
C100038,Male,84,25,28.82,768.78,one year,Fiber,Mailed check,1,0,1,1,0
C100039,Female,32,9,52.81,422.83,one year,Fiber,Electronic check,1,0,1,0,1
C100040,Male,41,2,41.71,66.11,one year,Fiber,Electronic check,0,1,3,1,1
C100041,Female,28,5,50.51,207.27,month-to-month,Fiber,Credit card,0,0,5,0,0
C100042,Female,44,14,61.3,885.53,month-to-month,Fiber,Electronic check,0,1,1,1,1
C100043,Male,55,7,15.0,94.65,one year,None,Electronic check,0,0,0,0,1
C100044,Male,72,5,25.11,162.09,one year,DSL,Electronic check,0,1,2,1,0
C100045,Female,42,9,27.48,255.0,one year,DSL,Bank transfer,0,0,0,1,0
C100046,Male,69,2,25.46,0.0,month-to-month,None,Bank transfer,0,0,2,1,1
C100047,Female,59,25,45.01,1111.95,one year,Fiber,Credit card,0,0,2,1,0
C100048,Female,37,12,55.88,593.76,month-to-month,Fiber,Bank transfer,0,0,2,0,0
C100049,Female,79,10,27.92,296.54,month-to-month,DSL,Electronic check,1,1,0,0,1
C100050,Female,47,34,22.72,800.16,month-to-month,None,Electronic check,1,1,0,0,1
C100051,Male,28,2,52.07,137.08,month-to-month,Fiber,Electronic check,0,1,3,1,1
C100052,Male,82,4,15.0,53.86,one year,None,Bank transfer,1,1,1,0,1
C100053,Male,79,2,51.62,21.63,month-to-month,Fiber,Credit card,0,0,3,0,1
C100054,Male,21,34,15.0,520.48,one year,None,Electronic check,0,1,0,1,0
C100055,Male,78,18,48.51,893.48,month-to-month,Fiber,Electronic check,1,0,2,1,1
C100056,Female,81,42,43.57,1820.63,month-to-month,Fiber,Bank transfer,1,1,2,0,0
C100057,Male,73,4,47.79,195.44,month-to-month,Fiber,Bank transfer,1,0,3,0,1
C100058,Female,35,8,55.69,351.13,month-to-month,Fiber,Bank transfer,0,1,3,1,1
C100059,Female,60,4,47.1,191.72,one year,Fiber,Mailed check,0,0,2,1,0
C100060,Female,54,16,31.54,499.22,month-to-month,DSL,Electronic check,1,1,2,0,1
C100061,Female,59,3,42.01,65.38,month-to-month,Fiber,Mailed check,1,1,3,1,1
C100062,Male,59,30,51.6,1574.42,month-to-month,Fiber,Electronic check,0,0,1,0,1
C100063,Female,60,5,29.69,123.72,month-to-month,DSL,Bank transfer,0,1,1,1,0
C100064,Male,52,24,52.69,1275.95,month-to-month,Fiber,Electronic check,1,0,1,0,0
C100065,Male,64,9,26.92,266.65,two years,DSL,Mailed check,0,1,1,0,0
C100066,Female,53,5,27.96,156.22,month-to-month,DSL,Credit card,1,1,1,1,0
C100067,Male,19,13,48.42,562.45,month-to-month,Fiber,Mailed check,1,0,3,1,1
C100068,Male,20,7,24.59,152.93,two years,DSL,Electronic check,0,1,0,1,1
C100069,Male,82,2,15.0,136.47,one year,None,Credit card,0,1,1,0,0
C100070,Female,78,4,20.44,151.52,month-to-month,None,Electronic check,1,0,2,0,1
C100071,Male,57,6,35.02,251.83,one year,Fiber,Bank transfer,1,1,1,1,1
C100072,Male,29,66,38.46,2552.06,two years,Fiber,Electronic check,1,0,4,1,0
C100073,Male,70,11,36.53,352.37,month-to-month,DSL,Credit card,1,0,1,1,1
C100074,Female,27,3,51.68,146.92,month-to-month,Fiber,Electronic check,0,1,3,1,1
C100075,Male,43,8,24.5,174.85,two years,DSL,Electronic check,1,1,4,1,0
C100076,Male,40,10,19.78,193.58,one year,None,Credit card,0,0,1,1,1
C100077,Male,18,3,16.75,0.0,two years,None,Bank transfer,0,1,2,1,0
C100078,Female,72,6,28.26,217.31,month-to-month,DSL,Electronic check,1,0,0,0,0
C100079,Female,52,6,44.71,133.94,two years,Fiber,Electronic check,0,1,1,1,0
C100080,Female,39,6,61.24,410.28,month-to-month,Fiber,Electronic check,1,1,2,0,0
C100081,Male,51,27,44.87,1255.26,one year,Fiber,Electronic check,1,0,2,1,0
C100082,Male,18,4,15.0,176.34,two years,DSL,Mailed check,1,0,1,0,0
C100083,Female,47,12,47.03,551.81,month-to-month,Fiber,Mailed check,1,0,2,0,0
C100084,Female,52,7,32.34,200.39,month-to-month,DSL,Credit card,1,1,1,1,0
C100085,Female,40,31,15.0,471.02,month-to-month,None,Bank transfer,1,1,1,0,0
C100086,Male,73,12,41.19,522.27,one year,Fiber,Credit card,1,1,2,1,0
C100087,Male,34,5,48.35,237.24,month-to-month,Fiber,Mailed check,0,0,4,1,1
C100088,Female,27,9,15.0,75.85,two years,None,Electronic check,0,1,1,1,0
C100089,Female,53,12,58.98,735.72,month-to-month,Fiber,Bank transfer,1,1,1,1,0
C100090,Male,77,4,53.44,213.72,month-to-month,Fiber,Electronic check,1,1,2,0,1
C100091,Female,43,20,44.43,838.2,month-to-month,Fiber,Electronic check,0,0,2,1,0
C100092,Female,21,10,59.34,512.14,two years,Fiber,Credit card,0,0,2,1,1
C100093,Male,82,5,29.92,273.03,month-to-month,DSL,Bank transfer,0,0,5,1,1
C100094,Female,47,30,15.0,491.6,month-to-month,None,Electronic check,1,0,0,1,0
C100095,Male,29,18,24.81,474.51,month-to-month,DSL,Electronic check,1,1,0,1,0
C100096,Male,59,11,34.84,377.47,two years,Fiber,Electronic check,0,1,2,0,1
C100097,Female,39,3,38.26,149.28,one year,Fiber,Bank transfer,1,1,4,0,1
C100098,Female,80,38,52.56,1944.85,month-to-month,Fiber,Electronic check,1,1,4,1,0
C100099,Male,37,6,15.0,99.97,month-to-month,None,Credit card,1,0,0,0,0
C100100,Female,54,9,34.91,326.35,month-to-month,DSL,Mailed check,1,1,1,1,0
C100101,Male,54,1,34.07,0.0,month-to-month,DSL,Electronic check,0,1,3,1,0
C100102,Female,34,3,42.72,122.93,one year,Fiber,Bank transfer,0,0,2,1,0
C100103,Male,51,23,54.58,1234.67,month-to-month,Fiber,Credit card,1,1,1,0,0
C100104,Female,25,25,15.0,336.8,month-to-month,None,Credit card,1,1,1,0,0
C100105,Female,61,1,40.79,13.85,one year,Fiber,Mailed check,1,1,2,0,0
C100106,Female,68,7,32.75,143.89,month-to-month,DSL,Electronic check,1,0,1,0,1
C100107,Female,81,16,28.95,516.38,month-to-month,DSL,Bank transfer,0,0,1,1,0
C100108,Male,39,12,46.87,640.61,month-to-month,Fiber,Credit card,0,1,2,1,0
C100109,Female,37,3,49.43,101.98,month-to-month,Fiber,Credit card,1,1,3,0,1
C100110,Male,54,11,31.59,403.03,one year,DSL,Mailed check,0,0,2,1,0
C100111,Female,64,10,56.4,562.4,month-to-month,Fiber,Bank transfer,1,1,2,0,1
C100112,Female,84,9,22.13,198.67,month-to-month,None,Electronic check,0,1,1,1,1
C100113,Male,19,6,48.22,224.57,month-to-month,Fiber,Electronic check,0,1,3,1,0
C100114,Female,33,7,47.61,305.36,one year,Fiber,Electronic check,0,1,1,0,0
C100115,Female,35,19,25.69,514.71,month-to-month,DSL,Electronic check,1,1,0,0,0
C100116,Male,35,7,25.84,132.15,month-to-month,None,Mailed check,0,0,1,0,0
C100117,Male,49,15,34.75,484.2,month-to-month,DSL,Electronic check,1,0,3,1,0
C100118,Male,76,8,59.66,451.86,month-to-month,Fiber,Bank transfer,1,0,2,1,1
C100119,Male,20,18,25.99,297.44,month-to-month,DSL,Bank transfer,1,0,0,1,0
C100120,Male,72,2,25.37,67.15,month-to-month,DSL,Electronic check,1,1,2,1,0
C100121,Female,59,14,27.76,420.44,one year,DSL,Bank transfer,0,0,0,1,0
C100122,Female,59,2,28.63,75.49,month-to-month,DSL,Electronic check,1,0,4,0,1
C100123,Male,63,7,20.0,187.12,one year,None,Electronic check,1,0,1,1,1
C100124,Female,25,27,36.59,965.69,month-to-month,DSL,Credit card,0,0,0,1,0
C100125,Female,68,10,28.51,375.7,month-to-month,None,Electronic check,1,1,1,0,1
C100126,Male,34,7,50.29,309.8,month-to-month,Fiber,Electronic check,0,0,2,1,1
C100127,Female,52,16,34.4,539.21,month-to-month,DSL,Bank transfer,1,1,0,0,0
C100128,Female,63,16,42.42,662.48,one year,Fiber,Electronic check,1,0,2,0,1
C100129,Female,58,14,26.09,374.52,one year,DSL,Electronic check,0,1,3,1,0
C100130,Female,39,13,15.0,183.02,one year,None,Bank transfer,0,1,1,1,0
C100131,Female,44,4,29.47,112.72,month-to-month,DSL,Bank transfer,0,1,3,1,1
C100132,Male,49,5,24.12,86.67,one year,None,Mailed check,1,0,2,1,0
C100133,Female,20,7,23.29,141.1,month-to-month,DSL,Credit card,1,1,0,0,0
C100134,Female,66,23,29.98,577.71,month-to-month,DSL,Electronic check,1,1,3,0,1
C100135,Male,24,34,30.27,1069.26,month-to-month,DSL,Mailed check,0,1,1,0,1
C100136,Female,48,12,53.22,587.5,month-to-month,Fiber,Electronic check,0,0,1,0,1
C100137,Male,61,9,39.51,331.09,one year,Fiber,Electronic check,1,0,3,0,1
C100138,Male,23,41,15.0,562.01,two years,None,Credit card,0,0,0,0,0
C100139,Male,84,8,47.02,404.65,month-to-month,Fiber,Bank transfer,0,1,2,0,1
C100140,Female,43,16,18.74,272.68,month-to-month,DSL,Electronic check,0,0,1,1,0
C100141,Male,19,9,50.81,335.15,one year,Fiber,Electronic check,1,0,1,0,1
C100142,Male,62,5,32.65,177.29,two years,Fiber,Electronic check,0,1,4,0,0
C100143,Male,55,8,15.0,82.64,one year,None,Bank transfer,0,0,0,1,0
C100144,Female,60,14,54.74,765.17,month-to-month,Fiber,Electronic check,1,1,4,0,1
C100145,Female,68,31,48.33,1539.71,month-to-month,Fiber,Credit card,1,1,3,1,0
C100146,Male,49,11,23.5,209.11,one year,DSL,Electronic check,1,1,0,0,0
C100147,Male,73,10,18.59,183.4,month-to-month,None,Electronic check,1,1,0,1,0
C100148,Female,42,2,25.37,12.16,two years,DSL,Credit card,0,0,2,0,0
C100149,Male,54,3,15.0,94.33,two years,None,Credit card,0,0,4,0,0
C100150,Female,28,4,22.98,95.85,two years,DSL,Electronic check,1,1,2,1,0
C100151,Male,59,2,44.29,87.43,month-to-month,Fiber,Mailed check,0,1,3,0,1
C100152,Female,35,22,16.65,304.26,one year,None,Credit card,1,1,0,1,0
C100153,Male,64,19,19.51,408.27,one year,None,Bank transfer,1,1,0,0,0
C100154,Male,71,21,57.03,1241.39,month-to-month,Fiber,Bank transfer,1,0,3,0,0
C100155,Female,75,1,42.25,3.95,month-to-month,Fiber,Bank transfer,1,0,2,1,0
C100156,Male,80,16,18.52,303.96,month-to-month,None,Credit card,1,1,1,0,0
C100157,Female,26,7,57.99,435.34,month-to-month,Fiber,Mailed check,1,1,1,1,0
C100158,Female,27,7,44.61,423.16,two years,Fiber,Electronic check,0,0,2,0,0
C100159,Female,80,26,24.0,643.68,one year,DSL,Mailed check,0,1,0,0,0
C100160,Female,43,12,50.02,600.21,month-to-month,Fiber,Bank transfer,1,1,2,0,1
C100161,Female,19,3,51.49,146.67,month-to-month,Fiber,Mailed check,1,1,3,1,1
C100162,Male,37,9,48.14,428.41,month-to-month,Fiber,Electronic check,0,1,2,1,1
C100163,Male,74,39,32.74,1315.06,month-to-month,DSL,Bank transfer,1,0,1,1,0
C100164,Male,41,32,52.45,1634.38,month-to-month,Fiber,Mailed check,0,1,1,0,0
C100165,Female,23,19,15.0,331.63,one year,None,Credit card,0,0,1,0,0
C100166,Male,66,3,42.55,50.59,one year,Fiber,Electronic check,1,1,4,1,1
C100167,Male,31,1,15.0,48.32,one year,None,Bank transfer,0,0,3,1,0
C100168,Male,41,2,18.72,84.69,two years,DSL,Bank transfer,1,0,3,0,0
C100169,Male,18,2,51.35,143.01,month-to-month,Fiber,Electronic check,0,0,3,0,0
C100170,Male,58,4,45.9,197.13,one year,Fiber,Mailed check,0,0,2,0,0
C100171,Male,47,24,46.4,1133.37,month-to-month,Fiber,Electronic check,1,1,3,1,0
C100172,Female,76,15,56.7,830.51,month-to-month,Fiber,Credit card,1,1,1,0,1
C100173,Female,40,19,30.03,514.23,month-to-month,DSL,Bank transfer,1,1,0,1,0
C100174,Female,31,11,57.32,642.98,month-to-month,Fiber,Electronic check,1,1,3,0,0
C100175,Male,29,4,37.2,152.25,month-to-month,DSL,Mailed check,0,0,3,0,0
C100176,Female,31,12,44.7,582.63,month-to-month,Fiber,Credit card,0,1,2,1,1
C100177,Male,48,0,17.55,0.0,month-to-month,None,Electronic check,0,0,1,0,1
C100178,Female,23,28,17.91,509.53,two years,DSL,Credit card,1,1,0,0,0
C100179,Female,44,2,51.57,117.5,month-to-month,Fiber,Electronic check,0,1,3,1,1
C100180,Female,75,8,53.63,457.68,month-to-month,Fiber,Electronic check,0,1,2,0,1
C100181,Male,69,21,40.73,902.86,two years,Fiber,Mailed check,0,0,1,1,0
C100182,Male,60,21,27.25,524.47,month-to-month,DSL,Electronic check,0,1,0,1,0
C100183,Female,77,25,58.26,1491.54,month-to-month,Fiber,Credit card,1,1,4,1,1
C100184,Male,70,11,37.81,406.86,two years,Fiber,Bank transfer,0,1,1,0,1
C100185,Male,61,6,53.71,354.39,month-to-month,Fiber,Bank transfer,1,1,2,0,1
C100186,Male,75,18,49.81,970.58,month-to-month,Fiber,Bank transfer,0,1,1,1,1
C100187,Male,26,28,49.67,1285.46,month-to-month,Fiber,Bank transfer,0,0,3,1,0
C100188,Male,72,27,23.37,691.68,month-to-month,None,Bank transfer,1,0,1,1,0
C100189,Male,37,24,32.72,779.24,one year,DSL,Bank transfer,0,0,1,0,0
C100190,Female,67,17,31.52,493.15,month-to-month,DSL,Credit card,0,0,3,1,0
C100191,Female,79,28,42.56,1169.69,one year,Fiber,Bank transfer,0,1,3,0,0
C100192,Female,51,21,52.4,1048.84,one year,Fiber,Electronic check,0,1,1,1,0
C100193,Male,23,4,42.47,195.25,two years,Fiber,Mailed check,1,0,3,0,0
C100194,Female,42,5,30.85,102.52,month-to-month,DSL,Electronic check,0,0,3,0,1
C100195,Male,45,6,35.14,271.05,month-to-month,DSL,Electronic check,0,1,1,1,0
C100196,Male,80,23,41.61,991.65,two years,Fiber,Electronic check,1,1,2,0,1
C100197,Male,81,14,37.28,533.34,one year,DSL,Electronic check,0,1,1,1,0
C100198,Male,56,1,50.01,0.0,month-to-month,Fiber,Electronic check,0,1,4,0,1
C100199,Female,81,3,55.75,101.12,month-to-month,Fiber,Credit card,1,0,3,0,0
C100200,Male,47,6,27.21,159.25,one year,DSL,Bank transfer,1,1,1,0,0
C100201,Female,45,4,52.19,207.49,month-to-month,Fiber,Electronic check,1,1,3,1,1
C100202,Male,74,6,18.19,156.13,month-to-month,None,Credit card,1,0,4,1,1
C100203,Female,62,8,15.0,0.0,two years,None,Credit card,1,1,1,1,0
C100204,Male,52,15,32.48,449.29,month-to-month,DSL,Credit card,1,1,0,0,0
C100205,Male,48,19,45.66,909.37,month-to-month,Fiber,Electronic check,0,0,1,0,1
C100206,Female,65,31,15.0,448.14,one year,None,Electronic check,0,1,0,1,0
C100207,Female,68,14,40.08,537.7,two years,Fiber,Mailed check,0,0,4,0,0
C100208,Male,50,4,36.2,64.2,month-to-month,DSL,Bank transfer,0,1,4,1,0
C100209,Female,20,6,25.4,205.34,one year,DSL,Bank transfer,1,1,1,0,0
C100210,Male,24,0,50.32,0.0,month-to-month,Fiber,Bank transfer,1,1,2,1,0
C100211,Female,27,5,44.71,278.22,month-to-month,Fiber,Bank transfer,1,0,2,0,0
C100212,Female,48,7,18.48,202.64,two years,None,Credit card,1,1,0,0,1
C100213,Male,59,2,25.54,116.93,month-to-month,None,Bank transfer,1,1,4,0,0
C100214,Female,71,9,36.1,323.27,month-to-month,DSL,Credit card,1,1,1,0,0
C100215,Male,33,3,37.74,89.0,one year,Fiber,Credit card,1,0,3,1,0
C100216,Male,70,0,31.76,0.0,month-to-month,DSL,Electronic check,1,0,5,0,0
C100217,Male,62,13,25.31,427.43,month-to-month,DSL,Credit card,0,0,1,0,0
C100218,Male,21,18,28.86,508.85,one year,DSL,Electronic check,0,0,1,0,0
C100219,Female,41,7,21.61,203.92,month-to-month,None,Electronic check,1,1,4,1,0
C100220,Male,38,3,27.59,106.9,one year,DSL,Credit card,1,0,1,1,1
C100221,Male,77,9,46.42,397.18,month-to-month,Fiber,Electronic check,0,1,2,1,1
C100222,Female,79,3,44.8,121.75,month-to-month,Fiber,Mailed check,1,1,4,0,0
C100223,Male,72,13,21.8,342.52,one year,DSL,Credit card,0,1,0,0,0
C100224,Female,53,27,51.54,1393.12,month-to-month,Fiber,Electronic check,1,1,1,0,0
C100225,Male,51,13,18.79,221.56,two years,DSL,Electronic check,1,0,1,0,1
C100226,Female,38,4,41.27,124.72,two years,Fiber,Electronic check,0,0,3,0,0
C100227,Female,69,35,39.88,1411.81,one year,Fiber,Mailed check,0,1,3,0,0
C100228,Female,23,17,19.97,313.62,month-to-month,None,Electronic check,1,0,1,1,0
C100229,Male,36,3,56.98,200.62,month-to-month,Fiber,Electronic check,0,0,2,1,1
C100230,Male,27,3,15.0,172.21,two years,None,Credit card,0,1,2,1,0
C100231,Female,51,17,51.97,909.47,month-to-month,Fiber,Electronic check,0,1,4,0,1
C100232,Male,38,4,27.01,198.26,one year,DSL,Bank transfer,0,0,3,0,0
C100233,Female,31,9,42.44,346.22,one year,Fiber,Electronic check,0,0,5,1,1
C100234,Male,43,6,28.16,203.15,month-to-month,None,Mailed check,1,1,3,0,1
C100235,Female,75,4,31.79,189.92,month-to-month,DSL,Bank transfer,1,1,2,1,0
C100236,Female,55,1,25.89,94.88,one year,DSL,Electronic check,1,1,1,0,0
C100237,Male,73,17,23.43,462.36,month-to-month,None,Electronic check,1,1,3,1,1
C100238,Male,79,11,24.7,272.57,month-to-month,None,Electronic check,1,1,1,1,0
C100239,Female,78,26,23.77,662.57,month-to-month,DSL,Electronic check,0,0,1,1,0
C100240,Male,41,5,45.28,175.53,one year,Fiber,Electronic check,1,0,5,0,1
C100241,Female,76,0,61.18,80.36,month-to-month,Fiber,Mailed check,0,1,3,1,0
C100242,Male,78,31,58.28,1758.97,month-to-month,Fiber,Electronic check,1,1,3,1,1
C100243,Female,82,15,44.47,729.73,one year,Fiber,Electronic check,1,0,1,1,0
C100244,Female,41,3,18.64,108.1,one year,None,Electronic check,0,1,3,0,1
C100245,Male,33,56,18.37,1080.41,two years,DSL,Credit card,0,1,3,1,0
C100246,Female,57,26,51.77,1449.26,month-to-month,Fiber,Electronic check,0,1,2,0,0
C100247,Male,80,10,17.71,229.7,two years,DSL,Bank transfer,1,1,1,0,0
C100248,Female,78,14,42.62,530.4,one year,Fiber,Bank transfer,1,0,1,0,0
C100249,Male,56,5,42.04,239.7,one year,Fiber,Electronic check,0,1,2,1,1
C100250,Male,27,7,58.41,314.41,month-to-month,Fiber,Electronic check,1,0,2,1,1
C100251,Male,46,11,17.6,189.02,month-to-month,None,Electronic check,1,0,0,1,0
C100252,Male,65,7,55.71,368.84,month-to-month,Fiber,Mailed check,1,1,2,1,1
C100253,Male,55,5,47.84,271.1,month-to-month,Fiber,Electronic check,0,0,3,1,1
C100254,Female,41,1,27.27,0.0,month-to-month,DSL,Electronic check,0,1,2,0,0
C100255,Male,40,59,15.0,845.35,two years,None,Credit card,1,0,0,1,0
C100256,Female,22,12,43.51,547.14,month-to-month,Fiber,Bank transfer,1,1,1,1,0
C100257,Male,37,6,43.32,318.68,two years,Fiber,Electronic check,1,0,1,0,1
C100258,Male,62,2,49.32,98.77,month-to-month,Fiber,Credit card,1,0,2,1,0
C100259,Female,34,20,42.25,961.08,one year,Fiber,Electronic check,0,1,2,1,0
C100260,Female,84,72,46.17,3307.26,month-to-month,Fiber,Electronic check,0,0,1,1,0
C100261,Male,23,10,34.86,382.55,one year,DSL,Electronic check,0,0,1,1,1
C100262,Male,57,5,29.83,166.2,month-to-month,DSL,Credit card,1,0,3,0,1
C100263,Female,51,54,15.0,792.86,two years,None,Electronic check,1,0,0,1,0
C100264,Female,73,13,24.36,382.31,month-to-month,None,Credit card,1,0,1,1,1
C100265,Female,77,4,45.79,138.65,month-to-month,Fiber,Bank transfer,1,0,3,0,0
C100266,Male,54,9,15.67,37.25,two years,None,Mailed check,0,0,1,1,0
C100267,Male,60,12,49.82,591.55,month-to-month,Fiber,Electronic check,0,1,2,0,1
C100268,Female,64,17,38.08,634.54,one year,Fiber,Electronic check,1,1,2,0,0
C100269,Female,52,16,17.35,330.7,month-to-month,None,Bank transfer,0,1,0,0,0
C100270,Male,30,37,44.52,1584.91,month-to-month,Fiber,Electronic check,0,0,2,1,1
C100271,Male,46,21,50.41,1084.71,month-to-month,Fiber,Mailed check,1,0,2,0,1
C100272,Male,34,9,46.03,434.42,month-to-month,Fiber,Electronic check,0,1,1,0,1
C100273,Female,49,30,45.48,1380.58,month-to-month,Fiber,Credit card,0,1,1,1,1
C100274,Male,59,5,31.46,209.51,month-to-month,DSL,Bank transfer,0,1,2,1,0
C100275,Male,32,9,15.22,135.8,one year,None,Mailed check,1,0,0,0,0
C100276,Male,34,2,26.05,54.7,two years,DSL,Mailed check,0,1,1,0,1
C100277,Female,73,19,55.82,1083.17,month-to-month,Fiber,Electronic check,1,1,1,1,0
C100278,Male,43,15,30.31,449.5,month-to-month,DSL,Electronic check,1,0,0,0,1
C100279,Male,31,18,52.5,877.3,month-to-month,Fiber,Electronic check,0,0,3,1,1
